date,company,ticker,price,currency
2026-08-25,Tuopu,601689.SS,46.8,CNY
2026-08-26,AUMOVIO,AMV0.F,35.65,EUR
2026-08-26,BTL,603596.SS,25.66,CNY
2026-08-26,Baolong,603197.SS,30.35,CNY
2026-08-26,HASCO,600741.SS,15.42,CNY
2026-08-26,Luxshare,002475.SZ,57.11,CNY
2026-08-26,NASN,2261.HK,14.5,HKD
2026-08-26,Tuopu,601689.SS,46.6,CNY
2026-08-27,AUMOVIO,AMV0.F,34.7,EUR
2026-08-27,BTL,603596.SS,25.9,CNY
2026-08-27,Baolong,603197.SS,30.43,CNY
2026-08-27,HASCO,600741.SS,15.32,CNY
2026-08-27,Luxshare,002475.SZ,57.18,CNY
2026-08-27,NASN,2261.HK,14.91,HKD
2026-08-27,Tuopu,601689.SS,47.43,CNY
2026-08-28,AUMOVIO,AMV0.F,35.35,EUR
2026-08-28,BTL,603596.SS,28.0,CNY
2026-08-28,Baolong,603197.SS,29.96,CNY
2026-08-28,HASCO,600741.SS,15.39,CNY
2026-08-28,Luxshare,002475.SZ,56.6,CNY
2026-08-28,NASN,2261.HK,14.82,HKD
2026-08-28,Tuopu,601689.SS,47.09,CNY
2026-08-31,AUMOVIO,AMV0.F,36.4,EUR
2026-08-31,BTL,603596.SS,28.07,CNY
2026-08-31,Baolong,603197.SS,29.75,CNY
2026-08-31,HASCO,600741.SS,15.45,CNY
2026-08-31,Luxshare,002475.SZ,57.62,CNY
2026-08-31,NASN,2261.HK,14.53,HKD
2026-08-31,Tuopu,601689.SS,46.83,CNY
2026-09-01,AUMOVIO,AMV0.F,35.8,EUR
2026-09-01,BTL,603596.SS,29.84,CNY
2026-09-01,Baolong,603197.SS,30.54,CNY
2026-09-01,HASCO,600741.SS,15.72,CNY
2026-09-01,Luxshare,002475.SZ,56.92,CNY
2026-09-01,NASN,2261.HK,14.89,HKD
2026-09-01,Tuopu,601689.SS,46.48,CNY
2026-09-02,AUMOVIO,AMV0.F,34.6,EUR
2026-09-02,BTL,603596.SS,30.09,CNY
2026-09-02,Baolong,603197.SS,30.39,CNY
2026-09-02,HASCO,600741.SS,15.53,CNY
2026-09-02,Luxshare,002475.SZ,57.08,CNY
2026-09-02,NASN,2261.HK,14.6,HKD
2026-09-02,Tuopu,601689.SS,46.52,CNY
2026-09-03,AUMOVIO,AMV0.F,36.65,EUR
2026-09-03,BTL,603596.SS,30.45,CNY
2026-09-03,Baolong,603197.SS,30.42,CNY
2026-09-03,HASCO,600741.SS,15.55,CNY
2026-09-03,Luxshare,002475.SZ,56.17,CNY
2026-09-03,NASN,2261.HK,14.8,HKD
2026-09-03,Tuopu,601689.SS,47.83,CNY
2026-09-04,AUMOVIO,AMV0.F,37.6,EUR
2026-09-04,BTL,603596.SS,29.96,CNY
2026-09-04,Baolong,603197.SS,30.27,CNY
2026-09-04,HASCO,600741.SS,15.58,CNY
2026-09-04,Luxshare,002475.SZ,54.3,CNY
2026-09-04,NASN,2261.HK,14.7,HKD
2026-09-04,Tuopu,601689.SS,45.82,CNY
2026-09-07,AUMOVIO,AMV0.F,37.8,EUR
2026-09-07,BTL,603596.SS,30.13,CNY
2026-09-07,Baolong,603197.SS,30.2,CNY
2026-09-07,HASCO,600741.SS,15.39,CNY
2026-09-07,Luxshare,002475.SZ,55.93,CNY
2026-09-07,NASN,2261.HK,14.58,HKD
2026-09-07,Tuopu,601689.SS,47.06,CNY
2026-09-08,AUMOVIO,AMV0.F,38.45,EUR
2026-09-08,BTL,603596.SS,30.13,CNY
2026-09-08,Baolong,603197.SS,29.9,CNY
2026-09-08,HASCO,600741.SS,15.5,CNY
2026-09-08,Luxshare,002475.SZ,55.06,CNY
2026-09-08,NASN,2261.HK,16.2,HKD
2026-09-08,Tuopu,601689.SS,46.25,CNY
2026-09-09,AUMOVIO,AMV0.F,38.4,EUR
2026-09-09,BTL,603596.SS,29.67,CNY
2026-09-09,Baolong,603197.SS,29.66,CNY
2026-09-09,HASCO,600741.SS,15.49,CNY
2026-09-09,Luxshare,002475.SZ,55.86,CNY
2026-09-09,NASN,2261.HK,15.92,HKD
2026-09-09,Tuopu,601689.SS,45.89,CNY
2026-09-10,AUMOVIO,AMV0.F,37.9,EUR
2026-09-10,BTL,603596.SS,28.5,CNY
2026-09-10,Baolong,603197.SS,29.07,CNY
2026-09-10,HASCO,600741.SS,15.45,CNY
2026-09-10,Luxshare,002475.SZ,54.45,CNY
2026-09-10,NASN,2261.HK,16.2,HKD
2026-09-10,Tuopu,601689.SS,44.32,CNY
2026-09-11,AUMOVIO,AMV0.F,37.9,EUR
2026-09-11,BTL,603596.SS,28.24,CNY
2026-09-11,Baolong,603197.SS,28.45,CNY
2026-09-11,HASCO,600741.SS,15.24,CNY
2026-09-11,Luxshare,002475.SZ,55.39,CNY
2026-09-11,NASN,2261.HK,16.5,HKD
2026-09-11,Tuopu,601689.SS,43.1,CNY
2026-09-14,AUMOVIO,AMV0.F,36.7,EUR
2026-09-14,BTL,603596.SS,28.54,CNY
2026-09-14,Baolong,603197.SS,28.8,CNY
2026-09-14,HASCO,600741.SS,15.51,CNY
2026-09-14,Luxshare,002475.SZ,52.78,CNY
2026-09-14,NASN,2261.HK,16.49,HKD
2026-09-14,Tuopu,601689.SS,43.13,CNY
2026-09-15,AUMOVIO,AMV0.F,36.8,EUR
2026-09-15,BTL,603596.SS,28.36,CNY
2026-09-15,Baolong,603197.SS,28.59,CNY
2026-09-15,HASCO,600741.SS,15.28,CNY
2026-09-15,Luxshare,002475.SZ,51.63,CNY
2026-09-15,NASN,2261.HK,16.48,HKD
2026-09-15,Tuopu,601689.SS,41.95,CNY
2026-09-16,AUMOVIO,AMV0.F,36.5,EUR
2026-09-16,BTL,603596.SS,27.94,CNY
2026-09-16,Baolong,603197.SS,28.65,CNY
2026-09-16,HASCO,600741.SS,15.0,CNY
2026-09-16,Luxshare,002475.SZ,52.89,CNY
2026-09-16,NASN,2261.HK,16.68,HKD
2026-09-16,Tuopu,601689.SS,41.93,CNY
2026-09-17,AUMOVIO,AMV0.F,35.9,EUR
2026-09-17,BTL,603596.SS,28.51,CNY
2026-09-17,Baolong,603197.SS,29.1,CNY
2026-09-17,HASCO,600741.SS,15.18,CNY
2026-09-17,Luxshare,002475.SZ,52.13,CNY
2026-09-17,NASN,2261.HK,16.6,HKD
2026-09-17,Tuopu,601689.SS,43.76,CNY
2026-09-18,AUMOVIO,AMV0.F,36.05,EUR
2026-09-18,BTL,603596.SS,28.38,CNY
2026-09-18,Baolong,603197.SS,28.97,CNY
2026-09-18,HASCO,600741.SS,14.88,CNY
2026-09-18,Luxshare,002475.SZ,54.1,CNY
2026-09-18,NASN,2261.HK,16.64,HKD
2026-09-18,Tuopu,601689.SS,45.0,CNY
2026-09-21,AUMOVIO,AMV0.F,35.3,EUR
2026-09-21,BTL,603596.SS,28.88,CNY
2026-09-21,Baolong,603197.SS,29.35,CNY
2026-09-21,HASCO,600741.SS,14.8,CNY
2026-09-21,Luxshare,002475.SZ,54.44,CNY
2026-09-21,NASN,2261.HK,16.9,HKD
2026-09-21,Tuopu,601689.SS,45.76,CNY
2026-09-22,AUMOVIO,AMV0.F,36.9,EUR
2026-09-22,BTL,603596.SS,29.15,CNY
2026-09-22,Baolong,603197.SS,29.47,CNY
2026-09-22,HASCO,600741.SS,14.92,CNY
2026-09-22,Luxshare,002475.SZ,54.84,CNY
2026-09-22,NASN,2261.HK,16.86,HKD
2026-09-22,Tuopu,601689.SS,45.71,CNY
2026-09-23,AUMOVIO,AMV0.F,36.8,EUR
2026-09-23,BTL,603596.SS,28.72,CNY
2026-09-23,Baolong,603197.SS,29.3,CNY
2026-09-23,HASCO,600741.SS,14.82,CNY
2026-09-23,Luxshare,002475.SZ,54.37,CNY
2026-09-23,NASN,2261.HK,16.81,HKD
2026-09-23,Tuopu,601689.SS,45.89,CNY
2026-09-24,AUMOVIO,AMV0.F,36.5,EUR
2026-09-24,BTL,603596.SS,28.55,CNY
2026-09-24,Baolong,603197.SS,29.36,CNY
2026-09-24,HASCO,600741.SS,14.7,CNY
2026-09-24,Luxshare,002475.SZ,52.0,CNY
2026-09-24,NASN,2261.HK,17.15,HKD
2026-09-24,Tuopu,601689.SS,46.44,CNY
2026-09-25,NASN,2261.HK,17.8,HKD
